StreetName,StreetCode
DESMOND CT,1374
COLERIDGE ST,1173
OXFORD ST,3013
GERALD CT,1951
HASTINGS ST,2129
GILMORE CT,1964
BRIGHAM ST,908
BRAGG ST,894
OCEAN PKWY,2964
BROWN ST,954
MANHATTAN CT,2658
DOONE CT,1419
PEMBROKE ST,3070
BRIGHTON CT,923
MANOR CT,2665
LANGHAM ST,2481
KENSINGTON ST,2405
BRIGHTON 3 ST,916
CASS PL,1054
BRIGHTON 15 ST,914
JAFFRAY ST,2322
BRIGHTON 5 ST,918
BRIGHTON 1 ST,911
E 21 ST,1566
E 29 ST,1601
E 27 ST,1599
E 13 ST,1497
MACKENZIE ST,2626
E 18 ST,1538
AVE Z,657
E 16 ST,1517
E 11 ST,1482
E 26 ST,1598
BRIGHTON 1 PL,909
BRIGHTON 2 ST,915
BRIGHTON 10 ST,913
E 24 ST,1596
E 19 ST,1548
E 12 ST,1490
OCEAN VIEW AVE,2965
BRIGHTON 7 ST,920
BRIGHTON 4 ST,917
BRYANT PARK,962
W 35 ST,3992
W 40 ST,3995
W 38 ST,3994
W 36 ST,3993
39 AVE,291
101 ST,7
MARTENSE AVE,2696
CORONA AVE,1228
JUNCTION BLVD,2369
48 AVE,317
96 ST,479
CALLOWAY ST,1004
ALSTYNE AVE,539
STRONG AVE,3629
36 AVE,283
NORTHERN BLVD,2936
98 ST,484
100 ST,5
97 PL,481
50 AVE,322
102 ST,10
47 AVE,314
41 AVE,298
VAN CLEEF ST,3795
111 ST,29
XENIA ST,4243
35 AVE,281
99 ST,486
106 ST,18
34 AVE,279
38 AVE,289
NATIONAL ST,2882
NICOLLS AVE,2923
WALDRON ST,4062
VAN DOREN ST,3799
RADCLIFF AVE,3201
GRANGER ST,2014
SAULTELL AVE,3406
PENROD ST,3082
CHRISTIE AVE,1117
OTIS AVE,3005
LEWIS AVE,2525
WESTSIDE AVE,4141
HORACE HARDING EXPY,2244
103 ST,13
51 AVE,324
42 AVE,300
107 ST,20
46 AVE,311
57 AVE,347
49 AVE,319
SPRUCE AVE,3545
37 RD,287
109 ST,24
37 AVE,286
112 ST,32
44 AVE,304
43 AVE,302
52 AVE,327
97 ST,482
54 AVE,336
MERIDIAN RD,2747
105 ST,16
98 PL,483
108 ST,22
104 ST,14
187 PL,170
102 AVE,8
201 ST,192
FRANCIS LEWIS BLVD,1887
FOOTHILL AVE,1865
HOLLIS AVE,2223
CARPENTER AVE,1041
WOODHULL AVE,4217
HENDERSON AVE,2161
193 ST,179
202 ST,193
205 ST,197
187 ST,171
190 ST,176
HAYWOOD RD,2146
182 ST,166
199 ST,184
89 AVE,460
183 PL,167
186 ST,169
SAGAMORE AVE,3392
205 PL,196
182 PL,165
204 ST,195
FARMERS BLVD,1818
HIAWATHA AVE,2189
ROCKAWAY BLVD,3311
103 DR,12
PITKIN AVE,3112
133 AVE,75
LAFAYETTE ST,2461
CROSS BAY BLVD,1277
RALEIGH ST,3210
CENTREVILLE ST,1083
COHANCY ST,1168
ALBERT RD,518
WHITELAW ST,4153
SUTTER AVE,3658
ROSITA RD,3346
HAWTREE ST,2145
SITKA ST,3504
HURON ST,2281
MURIEL CT,2849
ECKFORD AVE,1697
N CONDUIT AVE,2855
GOLD RD,1986
RICO PL,3280
DESARC RD,1372
88 ST,459
DUMONT AVE,1448
TAHOE ST,3672
PLATTWOOD AVE,3119
BRISTOL AVE,929
89 ST,461
96 PL,478
87 ST,456
90 ST,466
92 ST,471
CHICOT RD,1113
GLENMORE AVE,1976
RUSSELL ST,3361
155 AVE,123
KILLARNEY ST,2416
COLEMAN SQ,1171
SAPPHIRE ST,3403
153 AVE,120
95 ST,477
164 RD,139
LAHN ST,2464
164 AVE,137
CHURCH ST,1122
BAYVIEW AVE,754
165 AVE,141
159 AVE,129
156 AVE,125
E 80 ST,1644
FARRAGUT RD,1821
RALPH AVE,3211
FLATLANDS AVE,1855
E 92 ST,1656
REMSEN AVE,3245
PAERDEGAT 14 ST,3017
CONKLIN AVE,1205
AVE L,644
E 86 ST,1650
E 91 ST,1655
E 95 ST,1659
FOSTER AVE,1879
AVE A,635
DITMAS AVE,1400
DURLAND PL,1459
SEAVIEW AVE,3443
GLENWOOD RD,1979
STANLEY AVE,3585
ROSE ST,3339
BEDELL LN,769
WILLIAMS AVE,4173
CANARSIE RD,1021
KAUFMAN PL,2383
BRISTOL ST,930
SEAVIEW CT,3444
ROST PL,3349
SKIDMORE AVE,3505
E 84 ST,1648
PAERDEGAT 15 ST,3018
ROCKAWAY AVE,3308
E 76 ST,1640
PAERDEGAT 9 ST,3021
E 78 ST,1642
MATTHEWS PL,2713
AVE M,645
E 89 ST,1653
E 77 ST,1641
SCHENCK ST,3417
E 94 ST,1658
KRIER PL,2452
BRANTON ST,897
COVENTRY RD,1248
PAERDEGAT 11 ST,3016
E 85 ST,1649
ROCKAWAY PKWY,3312
E 87 ST,1651
E 98 ST,1662
E 81 ST,1645
AVE K,643
AVE B,636
E 106 ST,1478
AVE N,646
PAERDEGAT 4 ST,3019
AVE D,638
E 88 ST,1652
E 82 ST,1646
E 103 ST,1475
PAERDEGAT 8 ST,3020
E 100 ST,1472
E 83 ST,1647
E 96 ST,1660
E 108 ST,1480
FILLMORE ST,1844
PINE ST,3104
STUYVESANT PL,3638
LAYTON AVE,2497
MONTGOMERY AVE,2807
CORSON AVE,1233
ST MARKS PL,3566
ST PAULS AVE,3574
FOREST AVE,1870
CENTRAL AVE,1080
SLOSSON TER,3513
RICHMOND TER,3279
VAN CORTLANDT AVE,3796
SHERMAN AVE,3483
SPRING ST,3542
UNIVERSITY PL,3781
WALL ST,4065
VAN DUZER ST,3800
ARLO RD,593
CASTLETON AVE,1057
ACADEMY PL,491
HYATT ST,2285
WINTER AVE,4202
CASSIDY PL,1055
TYSEN ST,3769
HAVEN ESPL,2136
LITTLE CLOVE RD,2553
METROPOLITAN AVE,2760
JERSEY ST,2345
CITY BLVD,1126
KISSEL AVE,2436
WESTERVELT AVE,4135
OXFORD PL,3012
HAVENWOOD RD,2138
CRESCENT AVE,1261
FORT PL,1878
BENZIGER AVE,807
BARD AVE,691
ONTARIO AVE,2990
HOWARD AVE,2250
BERTHA PL,816
HART BLVD,2118
REVERE ST,3261
SHARON AVE,3467
PORTLAND PL,3150
TAFT AVE,3671
YORK AVE,4249
VAN BUREN ST,3794
ELY ST,1762
RIDGEWOOD PL,3287
CARROLL PL,1043
BELMONT PL,792
ARNOLD ST,597
AVON PL,659
HOYT AVE,2254
CAMPUS RD,1017
EDGAR TER,1700
WILLIS AVE,4177
FIEDLER AVE,1837
E BUCHANAN ST,1668
SUMNER PL,3650
HERKIMER ST,2176
VALENCIA AVE,3790
SCRIBNER AVE,3433
BROOK ST,944
CYPRESS AVE,1302
DANIEL LOW TER,1319
HARVARD AVE,2123
BISMARK AVE,837
DEVON PL,1381
RENWICK AVE,3251
GREENWOOD AVE,2043
ROSEWOOD PL,3344
BEECHWOOD AVE,778
BRIGHTON AVE,922
MILFORD AVE,2775
HEWITT AVE,2185
GRANT ST,2019
HENDRICKS AVE,2162
CEDAR TER,1074
OSWEGO ST,3004
NICHOLAS ST,2921
PENDLETON PL,3074
CROSSHILL ST,1280
EGMONT PL,1717
WOODSTOCK AVE,4226
CURTIS PL,1298
TILDEN ST,3720
GRYMES HILL RD,2056
ONEIDA AVE,2988
OAKWOOD AVE,2958
TIOGA ST,3727
HIGHVIEW AVE,2197
ELWOOD PL,1760
WALBROOKE AVE,4059
CATTARAUGUS ST,1066
DUER LN,1446
OCEAN CT,2963
SCHOHARIE ST,3423
ALBERT ST,519
THERESA PL,3696
CAYUGA AVE,1068
FOOTE AVE,1864
WILSON TER,4190
AYMAR AVE,663
MARX ST,2702
LABAU AVE,2455
GLEN AVE,1974
PENBROKE AVE,3072
ENDOR AVE,1770
EMERSON CT,1765
GRETA PL,2046
LOGAN AVE,2572
CLOVE RD,1158
CLEVELAND ST,1145
CLYDE PL,1160
BAYVIEW PL,755
LONGVIEW RD,2580
FLUSHING AVE,1861
BUSHWICK AVE,988
MAUJER ST,2714
MESEROLE ST,2758
VARET ST,3823
PULASKI ST,3176
FAYETTE ST,1825
VERNON AVE,3833
ELLERY ST,1734
STOCKTON ST,3618
WILLOUGHBY AVE,4179
THROOP AVE,3710
MONTROSE AVE,2813
MANHATTAN AVE,2657
SEIGEL ST,3452
DEBEVOISE ST,1344
BEAVER ST,766
HART ST,2120
WALLABOUT ST,4066
MARCY AVE,2680
HEYWARD ST,2188
LYNCH ST,2616
MIDDLETON ST,2767
TROUTMAN ST,3750
HUMBOLDT ST,2270
SCHOLES ST,3424
TEN EYCK ST,3685
