,Violation Code,Violation Location,House Number,Vehicle Year,Registration State,Vehicle Body Type,Vehicle Make,Violation Time,Violation County,Street Name,Intersecting Street,Vehicle Color
401,10,84.0,8,0,44,70,165,1007,2,2020,6,103
402,17,84.0,51,0,13,70,66,906,2,2303,-1,26
403,17,84.0,51,2019,39,108,49,485,2,2303,-1,32
404,17,84.0,189,2015,39,70,186,864,-1,2303,-1,65
405,48,84.0,189,0,35,16,54,1316,-1,2303,-1,124
406,17,84.0,189,0,35,75,118,856,-1,2303,-1,24
407,17,84.0,189,0,6,75,49,880,2,2303,-1,62
408,17,84.0,96,2019,39,70,96,888,-1,2303,-1,25
409,17,84.0,96,2011,39,84,49,301,-1,2303,-1,14
410,14,84.0,129,2020,39,75,83,1120,2,1910,-1,14
411,14,84.0,129,2021,39,108,49,509,2,1910,-1,124
412,71,84.0,129,2021,39,108,49,511,2,1910,-1,124
413,20,84.0,55,2021,39,-1,145,1166,2,2790,-1,130
414,20,84.0,55,0,35,70,66,263,2,2790,-1,130
415,21,84.0,55,2007,23,75,28,338,2,2790,-1,65
416,20,84.0,55,0,12,75,28,69,2,2790,-1,103
417,21,84.0,44,0,17,75,59,1064,2,606,-1,130
418,14,84.0,44,2021,39,75,171,1406,2,606,-1,11
419,19,84.0,257,0,35,70,110,997,2,1380,-1,11
420,19,84.0,257,0,12,70,171,993,2,1380,-1,124
421,19,84.0,257,0,8,70,171,991,2,1380,-1,67
422,19,84.0,257,0,53,70,171,987,2,1380,-1,124
423,17,84.0,53,2005,39,70,21,1016,2,627,-1,54
424,17,84.0,53,0,53,70,23,1016,2,627,-1,65
425,17,84.0,140,2019,39,75,66,816,2,2303,-1,110
426,17,84.0,140,0,21,70,186,836,2,2303,-1,-1
427,17,84.0,140,0,3,75,-1,806,2,2303,-1,130
428,14,84.0,50,2010,39,70,3,957,2,662,6,14
429,14,88.0,240,0,51,70,121,519,2,2851,-1,100
430,24,88.0,121,2010,39,75,187,471,2,944,-1,65
431,17,,121,0,39,75,7,1266,2,944,-1,-1
432,24,88.0,121,2018,39,70,165,467,2,944,-1,25
433,24,88.0,121,2020,39,70,72,479,2,944,-1,24
434,16,1.0,75,2014,39,60,49,1482,4,2784,-1,67
435,16,84.0,39,0,22,16,123,458,2,2083,-1,-1
436,20,84.0,2,2017,39,75,16,1234,2,2108,-1,67
437,71,84.0,13,2016,39,75,49,994,2,2113,-1,11
438,20,84.0,13,2016,39,75,49,996,2,2113,-1,11
